rawod,lab,standard_conc,dil_level,dilution,neat_mass_mg
0.0565,nsb,,,,
0.0623,blank,,,,
,,,,,
0.0732,nsb,,,,
0.945,b0,,,,
1.0372,b0,,,,
0.1968,std1,3200,,,
0.2177,std1,3200,,,
0.2999,std2,1600,,,
0.3123,std2,1600,,,
0.4537,std3,800,,,
0.4303,std3,800,,,
0.6149,std4,400,,,
0.5949,std4,400,,,
0.8015,std5,200,,,
0.7979,std5,200,,,
0.8482,std6,100,,,
0.9214,std6,100,,,
0.175,be1-2,,low,0.25,99.5
0.1844,be1-2,,low,0.25,99.5
0.2193,mn1-2,,low,0.25,100.9
0.2042,mn1-2,,low,0.25,100.9
0.329,mn1-6,,low,0.25,97.87
0.349,mn1-6,,low,0.25,97.87
0.5216,mn1-10,,low,0.25,101.8
0.5252,mn1-10,,low,0.25,101.8
0.1956,mn1-14,,low,0.25,100.6
0.1922,mn1-14,,low,0.25,100.6
0.6138,mn1-18,,low,0.25,100.7
0.5977,mn1-18,,low,0.25,100.7
0.3709,bpxab_mar17,,low,0.25,65.4
0.3149,bpxab_mar17,,low,0.25,65.4
