rawod,lab,standard_conc,dil_level,dilution,neat_mass_mg
0.07,blank,,,,
0.0738,blank,,,,
0.0553,nsb,,,,
0.0635,nsb,,,,
0.8964,b0,,,,
0.9315,b0,,,,
0.2095,std1,3200,,,
0.2074,std1,3200,,,
0.3059,std2,1600,,,
0.302,std2,1600,,,
0.4181,std3,800,,,
0.4051,std3,800,,,
0.5541,std4,400,,,
0.583,std4,400,,,
0.6772,std5,200,,,
0.7141,std5,200,,,
0.76,std6,100,,,
0.7646,std6,100,,,
0.7791,std7,50,,,
0.7967,std7,50,,,
0.084,be1-2,,low,1,99.5
0.0783,be1-2,,low,1,99.5
0.4103,be1-6,,low,1,101.2
0.4018,be1-6,,low,1,101.2
0.5258,be1-10,,low,1,100.7
0.5366,be1-10,,low,1,100.7
0.5773,be1-14,,low,1,99
0.6237,be1-14,,low,1,99
0.3944,be1-18,,low,1,101
0.3929,be1-18,,low,1,101
0.4888,be1-22,,low,1,101.4
0.4567,be1-22,,low,1,101.4
0.5725,be1-26,,low,1,101.7
0.6063,be1-26,,low,1,101.7
0.5515,be1-30,,low,1,99.6
0.5674,be1-30,,low,1,99.6
0.0881,mn1-2,,low,1,100.9
0.1038,mn1-2,,low,1,100.9
0.1324,mn1-6,,low,1,97.87
0.1429,mn1-6,,low,1,97.87
0.1973,mn1-10,,low,1,101.8
0.1957,mn1-10,,low,1,101.8
0.0756,mn1-14,,low,1,100.6
0.0749,mn1-14,,low,1,100.6
0.2905,mn1-18,,low,1,100.7
0.2671,mn1-18,,low,1,100.7
0.4687,mn1-22,,low,1,101.7
0.4419,mn1-22,,low,1,101.7
0.587,mn1-26,,low,1,99.9
0.5657,mn1-26,,low,1,99.9
0.4588,bpxab_nov16,,low,1,40.8
0.4506,bpxab_nov16,,low,1,40.8
0.5239,bpxab_dec16,,low,1,63.2
0.496,bpxab_dec16,,low,1,63.2
0.1401,bpxab_mar17,,low,1,65.4
0.1514,bpxab_mar17,,low,1,65.4
0.0447,mn1-14-18,,low,1,102
0.0517,mn1-14-18,,low,1,102
0.089,mn1-14-18-spike,,low,1,102.1
0.0865,mn1-14-18-spike,,low,1,102.1
0.1483,spike-soln,,low,1,
0.1635,spike-soln,,low,1,
0.0501,mn1-14-18,,high,4,102
0.0468,mn1-14-18,,high,4,102
0.0738,mn1-14-18-spike,,high,4,102.1
0.0723,mn1-14-18-spike,,high,4,102.1
0.1825,bpxab_nov16,,high,4,40.8
0.1795,bpxab_nov16,,high,4,40.8
0.2118,bpxab_dec16,,high,4,63.2
0.227,bpxab_dec16,,high,4,63.2
0.087,bpxab_mar17,,high,4,65.4
0.0645,bpxab_mar17,,high,4,65.4
0.0519,be1-2,,high,4,99.5
0.0543,be1-2,,high,4,99.5
0.1596,be1-6,,high,4,101.2
0.1621,be1-6,,high,4,101.2
0.2269,be1-10,,high,4,100.7
0.2332,be1-10,,high,4,100.7
0.2774,be1-14,,high,4,99
0.2575,be1-14,,high,4,99
0.1944,be1-18,,high,4,101
0.2145,be1-18,,high,4,101
0.2225,be1-22,,high,4,101.4
0.2553,be1-22,,high,4,101.4
0.0638,mn1-2,,high,4,100.9
0.0657,mn1-2,,high,4,100.9
0.0667,mn1-6,,high,4,97.87
0.0672,mn1-6,,high,4,97.87
0.1032,mn1-10,,high,4,101.8
0.088,mn1-10,,high,4,101.8
0.0553,mn1-14,,high,4,100.6
0.0518,mn1-14,,high,4,100.6
0.1043,mn1-18,,high,4,100.7
0.1105,mn1-18,,high,4,100.7
0.199,mn1-22,,high,4,101.7
0.1915,mn1-22,,high,4,101.7
