rawod,lab,standard_conc,dil_level,dilution,neat_mass_mg
,blank,,,,
,blank,,,,
0.048,nsb,,,,
0.0538,nsb,,,,
0.5731,b0,,,,
0.5677,b0,,,,
0.2312,std1,3200,,,
0.1866,std1,3200,,,
0.1929,std2,1600,,,
0.1921,std2,1600,,,
0.265,std3,800,,,
0.2351,std3,800,,,
0.3193,std4,400,,,
0.3488,std4,400,,,
0.3301,std5,200,,,
0.5313,std5,200,,,
0.5019,std6,100,,,
0.5254,std6,100,,,
0.5356,std7,50,,,
0.5158,std7,50,,,
0.554,kc1,,1x,1,100
0.4456,kc1,,1x,1,100
0.3166,kc2,,,1,100
0.2617,kc2,,,1,100
0.6196,k3,,,1,100
0.6417,k3,,,1,100
0.3526,k4,,,1,100
0.4728,k4,,,1,100
