rawod,lab,standard_conc,dil_level,dilution,neat_mass_mg
0.0499,blank,,,,
0.0493,blank,,,,
0.06,nsb,,,,
0.0586,nsb,,,,
0.4952,b0,,,,
0.4461,b0,,,,
0.1408,std1,3200,,,
0.1319,std1,3200,,,
0.1829,std2,1600,,,
0.1725,std2,1600,,,
0.256,std3,800,,,
0.2278,std3,800,,,
0.28,std4,400,,,
0.3527,std4,400,,,
0.3728,std5,200,,,
0.3526,std5,200,,,
0.4485,std6,100,,,
0.415,std6,100,,,
0.4793,std7,50,,,
0.4124,std7,50,,,
0.4133,kc1,,1x,1,100
0.3754,kc1,,1x,1,100
0.2279,kc2,,1x,1,100
0.2424,kc2,,1x,1,100
0.376,k3,,1x,1,100
0.3478,k3,,1x,1,100
0.2405,k4,,1x,1,100
0.2757,k4,,1x,1,100
0.3509,k5,,1x,1,100
0.3107,k5,,1x,1,100
0.2506,k6,,1x,1,100
0.2673,k6,,1x,1,100
